spcd;common_name;genus;species
315;striped maple;Acer;pensylvanicum
320;Norway maple;Acer;platanoides
6015;Acacia polyacantha;Acacia;polyacantha
316;red maple;Acer;rubrum
317;silver maple;Acer;saccharinum
318;sugar maple;Acer;saccharum
319;mountain maple;Acer;spicatum
6018;poponax;Acacia;tortuosa
906;Everglades palm, paurotis-palm;Acoelorraphe;wrightii
6025;baobab;Adansonia;digitata
6029;beadtree;Adenanthera;
7088;agatelang;Eugenia;palumbis
7125;beror;Euodia;palawensis
7113;manchineel berry;Euphorbia;petiolaris
7115;spurge;Euphorbia;
7047;blackbutt;Eucalyptus;pilularis
7126;Euodia ponapensis;Euodia;ponapensis
7089;rockmyrtle;Eugenia;procera
7090;Christmas cherry;Eugenia;pseudopsidium
7114;poinsettia;Euphorbia;pulcherrima
7048;black ironbox;Eucalyptus;raveretiana
7049;redmahogany;Eucalyptus;resinifera
7091;mountain stopper;Eugenia;reinwardtiana
873;red stopper;Eugenia;rhombea
514;swampmahogany;Eucalyptus;robusta
7051;Western Australian floodedgum;Eucalyptus;rudis
7120;eurya;Eurya;
7053;Sydney bluegum;Eucalyptus;saligna
7052;black peppermint;Eucalyptus;salicifolia
7119;anini;Eurya;sandwicensis
7094;sessileleaf stopper;Eugenia;sessiliflora
7093;serrasuela;Eugenia;serrasuela
7054;red ironbark;Eucalyptus;sideroxylon
7099;luluhut;Eugenia;stelechantha
7098;Stahl's stopper;Eugenia;stahlii
7100;Stewardson's stopper;Eugenia;stewardsonii
7101;rebotel;Eugenia;suzukii
7056;forest redgum;Eucalyptus;tereticornis
7116;Indiantree spurge;Euphorbia;tirucalli
7128;Euodia trichantha;Euodia;trichantha
7103;Underwood's stopper;Eugenia;underwoodii
7104;Surinam cherry;Eugenia;uniflora
7057;manna gum;Eucalyptus;viminalis
7105;aridland stopper;Eugenia;xerophytica
7129;blinding tree;Excoecaria;agallocha
7135;Caribbean princewood;Exostema;caribaeum
7136;plateado;Exostema;ellipticum
7131;hulumoa;Exocarpos;gaudichaudii
7132;exocarpos;Exocarpos;
874;butterbough, inkwood;Exothea;paniculata
7133;kotop;Exorrhiza;ponapensis
7137;Exostema sanctae-luciae;Exostema;sanctae-luciae
7141;pualulu;Fagraea;berteroana
531;American beech;Fagus;grandifolia
7143;Fagraea;Fagraea;
7142;ksid;Fagraea;ksid
7145;peacocksplume;Falcataria;
7144;peacocksplume;Falcataria;moluccana
7146;false coffee;Faramea;occidentalis
7148;Jamaican cherry fig;Ficus;americana
876;Florida strangler fig;Ficus;aurea
7169;mati vao;Ficus;scabra
7150;weeping fig;Ficus;benjamina
7149;Indian banyan;Ficus;benghalensis
7151;edible fig;Ficus;carica
7180;Finschia chloroxantha;Finschia;chloroxantha
877;wild banyantree, shortleaf fig;Ficus;citrifolia
7171;fig;Ficus;
126;pitch pine;Pinus;rigida
8173;Royen's tree cactus;Pilosocereus;royenii
97;red spruce;Picea;rubens
127;gray or California foothill pine;Pinus;sabiniana
8214;aulu;Pisonia;sandwicensis
8210;piscidia;Piscidia;
128;pond pine;Pinus;serotina
98;Sitka spruce;Picea;sitchensis
8215;catchbirdtree;Pisonia;
129;eastern white pine;Pinus;strobus
114;southwestern white pine;Pinus;strobiformis
8216;water mampoo;Pisonia;subcordata
8199;spanish elder;Piper;swartzianum
7182;burrdaisytree;Fitchia;speciosa
7705;matamo;Medusanthera;samoensis
130;Scotch pine;Pinus;sylvestris
131;loblolly pine;Pinus;taeda
8239;cream cheesewood;Pittosporum;terminalioides
139;Torrey pine;Pinus;torreyana
8238;cheesewood;Pittosporum;
8217;umbrella catchbirdtree;Pisonia;umbellifera
8223;catclaw blackbead;Pithecellobium;unguis-cati
8240;Australian cheesewood;Pittosporum;undulatum
132;Virginia pine;Pinus;virginiana
8241;cape cheesewood;Pittosporum;viridiflorum
137;Washoe pine;Pinus;washoensis
8218;Kauai catchbirdtree;Pisonia;wagneriana
8266;nosegaytree;Plumeria;alba
8247;Planchonella;Planchonella;
722;water-elm, planertree;Planera;aquatica
729;sycamore ;Platanus;
8252;platydesma;Platydesma;
8257;golden hala pepe;Pleomele;aurea
8258;Maui hala pepe;Pleomele;auwahiensis
8263;hala pepe;Pleomele;
8259;Lanai hala pepe;Pleomele;fernaldii
8260;Waianae Range hala pepe;Pleomele;forbesii
8242;alaa;Planchonella;garberi
8243;alaa;Planchonella;grayana
8261;royal hala pepe;Pleomele;halapepe
8262;Hawaii hala pepe;Pleomele;hawaiiensis
8244;alaa;Planchonella;linggensis
7200;California buckthorn;Frangula;californica
8255;chupa gallo;Pleodendron;macranthum
8268;Singapore graveyard flower;Plumeria;obtusa
8269;Plumeria obtusa;Plumeria;obtusa
731;American sycamore;Platanus;occidentalis
8249;Oriental arborvitae;Platycladus;orientalis
730;California sycamore;Platanus;racemosa
8250;Hawaii pilo kea;Platydesma;remyi
8271;templetree;Plumeria;rubra
8246;mamalava;Planchonella;samoensis
8251;Maui pilo kea;Platydesma;spathulata
8248;mamalava;Planchonella;torricellensis
8272;Plumeria;Plumeria;
732;Arizona sycamore;Platanus;wrightii
752;silver poplar;Populus;alba
749;narrowleaf cottonwood;Populus;angustifolia
741;balsam poplar;Populus;balsamifera
747;black cottonwood;Populus;balsamifera
6028;red beadtree;Adenanthera;pavonina
6026;wild lime;Adelia;ricinella
8290;tava;Pometia;pinnata
333;California buckeye;Aesculus;californica
332;yellow buckeye;Aesculus;flava
331;Ohio buckeye;Aesculus;glabra
334;Texas buckeye;Aesculus;glabra
6032;Caribbean spiritweed;Aegiphila;martinicensis
336;red buckeye;Aesculus;pavia
330;buckeye, horsechestnut ;Aesculus;
337;painted buckeye;Aesculus;sylvatica
6036;kauri;Agathis;australis
6047;Aglaia;Aglaia;
6042;Titimel;Aglaia;mariannensis
6043;mesecheues;Aglaia;palauensis
6044;karasyu, marasau;Aglaia;ponapensis
6037;Queensland kauri;Agathis;robusta
6046;laga ali;Aglaia;samoensis
341;ailanthus;Ailanthus;altissima
6048;Olomea;Aidia;cochinchinensis
6051;ailanthus;Ailanthus;
6053;Aiphanes minima;Aiphanes;minima
6049;Aidia racemosa;Aidia;racemosa
6055;cream albizia;Albizia;adinocephala
6063;albizia;Albizia;
6092;helecho gigante de la sierra;Alsophila;bryophila
6088;chelebiob, elebiong;Alphitonia;carolinensis
6056;naked albizia;Albizia;carbonaria
6057;Chinese albizia;Albizia;chinensis
6080;palo blanco;Allophylus;crassinervis
6073;alectryon;Alectryon;
6077;aleurites;Aleurites;
6058;ukall ra ngebard;Albizia;falcataria
6066;palo de gallina;Alchorneopsis;floribunda
355;European alder;Alnus;glutinosa
345;mimosa, silktree;Albizia;julibrissin
6064;achiotillo;Alchornea;latifolia
6059;woman's tongue;Albizia;lebbeck
6083;Allophylus;Allophylus;
6069;Hawaii alectryon;Alectryon;macrococcus
6095;deviltree;Alstonia;macrophylla
6075;Indian walnut;Aleurites;moluccana
6086;Nepal alder;Alnus;nepalensis
350;alder ;Alnus;
353;Arizona alder;Alnus;oblongifolia
6096;Alstonia pacifica;Alstonia;pacifica
6090;Alphitonia;Alphitonia;
6089;Hawaii kauilatree;Alphitonia;ponderosa
8295;kisaks;Pongamia;pinnata
7713;Melastoma sanguineum;Melastoma;sanguineum
6093;Alsophila portoricensis;Alsophila;portoricensis
6060;tall albizia;Albizia;procera
