"";"tsn";"genus";"species";"itis_acceptedname";"en_common";"fr_common";"us_code";"qc_code";"on_alpha_code";"on_tree_code"
"204";NA;"Hibiscadelphus";"puakuahiwi";"";"hau kuahiwi";NA;7389;NA;NA;NA
"205";NA;"Hibiscadelphus";"spp.";"";"hibiscadelphus";NA;7390;NA;NA;NA
"206";NA;"Hyeronima";"clusioides";"";"cedro macho";NA;7438;NA;NA;NA
"207";NA;"Kayea";"pacifica";"";"ketoguit";NA;7497;NA;NA;NA
"208";NA;"Kokia";"spp.";"";"treecotton";NA;7513;NA;NA;NA
"209";NA;"Kunzea";"spp.";"";"Kunzea";NA;7517;NA;NA;NA
"210";NA;"Labordia";"spp.";"";"labordia";NA;7523;NA;NA;NA
"211";NA;"Leptospermum";"spp.";"";"teatree";NA;7562;NA;NA;NA
"212";NA;"Litsea";"samoensis";"";"papaono";NA;7586;NA;NA;NA
"213";NA;"Mallotus";"palauensis";"";"Mallotus palauensis";NA;7638;NA;NA;NA
"214";NA;"Medusanthera";"spp.";"";"Medusanthera";NA;7706;NA;NA;NA
"215";NA;"Meryta";"spp.";"";"Meryta";NA;7778;NA;NA;NA
"216";NA;"Metrosideros";"spp.";"";"lehua";NA;7793;NA;NA;NA
"217";NA;"Micromelum";"minutum";"";"talafulu";NA;7824;NA;NA;NA
"218";NA;"Musa";"tikap";"";"tikap";NA;7878;NA;NA;NA
"219";NA;"Mussaenda";"raiateensis";"";"aloalo vao";NA;7881;NA;NA;NA
"220";NA;"Myristica";"inutilis";"";"Myristica inutilis";NA;7906;NA;NA;NA
"221";NA;"Nestegis";"spp.";"";"nestegis";NA;7961;NA;NA;NA
"222";NA;"Nothocestrum";"spp.";"";"aiea";NA;7970;NA;NA;NA
"223";NA;"Ocotea";"nemodaphne";"";"laurel sassafras";NA;7997;NA;NA;NA
"224";NA;"Ormosia";"calavensis";"";"amansis, edebsungelked, necklace bead tree";NA;8019;NA;NA;NA
"225";NA;"Osmoxylon";"oliveri";"";"kesiamel";NA;8022;NA;NA;NA
"226";NA;"Palaquium";"karrak";"";"Palaquium karrak";NA;8074;NA;NA;NA
"227";NA;"Palaquium";"stehlinii";"";"gasu";NA;8044;NA;NA;NA
"228";NA;"Pandanus";"aimiriikensis";"";"chertochet";NA;8054;NA;NA;NA
"229";NA;"Pandanus";"cominsii";"";"matal";NA;8055;NA;NA;NA
"230";NA;"Pandanus";"cylindricus";"";"silaue";NA;8057;NA;NA;NA
"231";NA;"Pandanus";"dilatatus";"";"kienpel";NA;8058;NA;NA;NA
"232";NA;"Pandanus";"divergens";"";"ongor";NA;8059;NA;NA;NA
"233";NA;"Pandanus";"duriocarpus";"";"ongor";NA;8061;NA;NA;NA
"234";NA;"Pandanus";"enchabiensis";"";"moak";NA;8062;NA;NA;NA
"235";NA;"Pandanus";"fischerianus";"";"hara";NA;8063;NA;NA;NA
"236";NA;"Pandanus";"fragrans";"";"aggag";NA;8064;NA;NA;NA
"237";NA;"Pandanus";"hosinoi";"";"nenketak";NA;8065;NA;NA;NA
"238";NA;"Pandanus";"jaluitensis";"";"pacheren";NA;8066;NA;NA;NA
"239";NA;"Pandanus";"korrensis";"";"siu";NA;8068;NA;NA;NA
"240";NA;"Pandanus";"lakatwa";"";"lakatwa";NA;8069;NA;NA;NA
"241";NA;"Pandanus";"laticanaliculatus";"";"erwan, jonmouia";NA;8070;NA;NA;NA
"242";NA;"Pandanus";"macrocephalus";"";"intekul, pasyure";NA;8071;NA;NA;NA
"243";NA;"Pandanus";"macrojeanneretia";"";"ongor, ertochet";NA;8072;NA;NA;NA
"244";NA;"Pandanus";"menne";"";"menne";NA;8073;NA;NA;NA
"245";NA;"Pandanus";"obliquus";"";"lonlin, lajokorer";NA;8092;NA;NA;NA
"246";NA;"Pandanus";"odontoides";"";"Pandanus odontoides";NA;8075;NA;NA;NA
"247";NA;"Pandanus";"peliliuensis";"";"ongor";NA;8078;NA;NA;NA
"248";NA;"Pandanus";"ponapensis";"";"alwan, kipal, taip";NA;8079;NA;NA;NA
"249";NA;"Pandanus";"rectangulatus";"";"pathaplip";NA;8081;NA;NA;NA
"250";NA;"Pandanus";"reineckei";"";"fasa";NA;8082;NA;NA;NA
"251";NA;"Pandanus";"rotundatus";"";"magojokojok";NA;8083;NA;NA;NA
"252";NA;"Pandanus";"tolotomensis";"";"kiparenwel";NA;8086;NA;NA;NA
"253";NA;"Pandanus";"trukensis";"";"mojel";NA;8087;NA;NA;NA
"254";NA;"Pandanus";"variegatus";"";"berrakelongor";NA;8090;NA;NA;NA
"255";NA;"Parinari";"insularum";"";"sea";NA;8103;NA;NA;NA
"256";NA;"Parkia";"korom";"";"Parkia korom";NA;8107;NA;NA;NA
"257";NA;"Parkia";"parvifoliola";"";"kmekumer";NA;8108;NA;NA;NA
"258";NA;"Planchonella";"grayana";"";"alaa";NA;8243;NA;NA;NA
"259";NA;"Planchonella";"samoensis";"";"mamalava";NA;8246;NA;NA;NA
"260";NA;"Platydesma";"spp.";"";"platydesma";NA;8252;NA;NA;NA
"261";NA;"Pleomele";"hawaiiensis";"";"Hawaii hala pepe";NA;8262;NA;NA;NA
"262";NA;"Ponapea";"spp.";"";"Ponapea";NA;8294;NA;NA;NA
"263";NA;"Pritchardia";"limahuliensis";"";"Limahuli Valley pritchardia";NA;8324;NA;NA;NA
"264";NA;"Psychotria";"mariana";"";"aplohkateng";NA;8390;NA;NA;NA
"265";NA;"Psychotria";"rhombocarpa";"";"Psychotria rhombocarpa";NA;8398;NA;NA;NA
"266";NA;"Pteralyxia";"spp.";"";"pteralyxia";NA;8406;NA;NA;NA
"267";NA;"Ptychococcus";"ledermannianus";"";"Ptychococcus ledermannianus";NA;8412;NA;NA;NA
"268";NA;"Quercus";"prinus";"";"chestnut oak";NA;832;NA;NA;NA
"269";NA;"Rauvolfia";"insularis";"";"omechidel";NA;8432;NA;NA;NA
"270";NA;"Roystonea";"elata";"";"Roystonea elata";NA;8490;NA;NA;NA
"271";NA;"Sagraea";"umbrosa";"";"white hogwood";NA;8499;NA;NA;NA
"272";NA;"Sapindus";"vitiensis";"";"vitiensis";NA;8532;NA;NA;NA
"273";NA;"Serianthes";"kanehirae";"";"ukall";NA;8601;NA;NA;NA
"274";NA;"Spiraeanthemum";"samoense";"";"Spiraeanthemum samoense";NA;8646;NA;NA;NA
"275";NA;"Syncarpia";"spp.";"";"turpentine tree";NA;8690;NA;NA;NA
"276";NA;"Terminalia";"kaernbachii";"";"tropical almond";NA;8755;NA;NA;NA
"277";NA;"Timonius";"corymbosus";"";"Timonius corymbosus";NA;8806;NA;NA;NA
"278";NA;"Timonius";"mollis";"";"Timonius mollis";NA;8807;NA;NA;NA
"279";NA;"Timonius";"subauritus";"";"Timonius subauritus";NA;8809;NA;NA;NA
"280";NA;"Touchardia";"spp.";"";"touchardia";NA;8823;NA;NA;NA
"281";NA;"Tristiropsis";"obtusangula";"";"faia";NA;8846;NA;NA;NA
"282";NA;"Vitex";"cofassus";"";"bars, beokel";NA;8872;NA;NA;NA
"283";NA;"Abies";"spp.";"Abies";"fir spp.";NA;10;NA;NA;NA
"284";"181824";"Abies";"amabilis";"Abies amabilis";"Pacific silver fir";NA;11;NA;NA;NA
"285";"18032";"Abies";"balsamea";"Abies balsamea";"Balsam fir ;balsam fir";"Sapin baumier";12;"SAB";"Bf";20
"286";"181825";"Abies";"bracteata";"Abies bracteata";"Santa Lucia or bristlecone fir";NA;14;NA;NA;NA
"287";"181826";"Abies";"concolor";"Abies concolor";"white fir";NA;15;NA;NA;NA
"288";"181829";"Abies";"fraseri";"Abies fraseri";"Fraser fir";NA;16;NA;NA;NA
"289";"183284";"Abies";"grandis";"Abies grandis";"grand fir";NA;17;NA;NA;NA
"290";"181830";"Abies";"lasiocarpa";"Abies lasiocarpa";"corkbark fir";NA;18;NA;NA;NA
"291";"181830";"Abies";"lasiocarpa";"Abies lasiocarpa";"subalpine fir";NA;19;NA;NA;NA
"292";"181834";"Abies";"magnifica";"Abies magnifica";"California red fir";NA;20;NA;NA;NA
"293";NA;"Abies";"shastensis";"Abies magnifica var. shastensis";"Shasta red fir";NA;21;NA;NA;NA
"294";"181835";"Abies";"procera";"Abies procera";"noble fir";NA;22;NA;NA;NA
"295";NA;"Acacia";"spp.";"Acacia";"acacia spp.";NA;300;NA;NA;NA
"296";NA;"Acacia";"anegadensis";"Acacia anegadensis";"blackbrush wattle";NA;6001;NA;NA;NA
"297";"507819";"Acacia";"aneura";"Acacia aneura";"mulga";NA;6002;NA;NA;NA
"298";"182096";"Acacia";"auriculiformis";"Acacia auriculiformis";"auri";NA;6003;NA;NA;NA
"299";"182097";"Acacia";"confusa";"Acacia confusa";"small Philippine acacia";NA;6004;NA;NA;NA
"300";NA;"Acacia";"farnesiana";"Acacia farnesiana";"sweet acacia";NA;303;NA;NA;NA
"301";NA;"Acacia";"greggii";"Acacia greggii";"catclaw acacia";NA;304;NA;NA;NA
"302";"182079";"Acacia";"koa";"Acacia koa";"koa";NA;6006;NA;NA;NA
"303";"182080";"Acacia";"koaia";"Acacia koaia";"koaoha";NA;6007;NA;NA;NA
"304";"820148";"Acacia";"mangium";"Acacia mangium";"Acacia mangium";NA;6009;NA;NA;NA
